id;SEXEQ;FAMIQ;RELAT;AGER;OPGNBL;MOYRVL;TAVEPL;ENDETL;GAGETL;KVUNB;QSMOY;QCREDL;CARVP
5015151;Shom;Fseu;35;60;0;0;10.48776808;0;0;1;735;0;Cnon
459614;Shom;Fseu;107;27;0.693147181;1.386294361;0;0;0;1;1466;1.386294361;Cnon
1256165;Sfem;Fseu;111;32;0;2.772588722;11.05986548;2.995732274;12.06106421;2;3961;2.63905733;Cnon
1248238;Shom;Fcou;115;42;0;3.295836866;10.66515749;2.708050201;11.7723238;1;878;1.386294361;Cnon
1340327;Sfem;Fseu;307;57;1.098612289;2.48490665;8.065893547;0;0;1;2838;2.48490665;Cnon
2941573;Sfem;Fcou;199;47;0;3.044522438;4.663439094;2.302585093;11.78967803;2;-174;3.091042453;Cnon
5065589;Sfem;Fseu;16;43;0.693147181;0;0;0;0;1;-79;0;Cnon
5093515;Sfem;Fseu;5;19;0;2.079441542;8.294299609;0;0;1;5996;1.945910149;Cnon
1481943;Sfem;Fcou;73;30;0.693147181;3.044522438;0;0;0;1;6592;3.044522438;Cnon
243476;Shom;Fcou;252;47;0.693147181;3.135494216;0;0;0;1;15929;3.135494216;Cnon
405131;Shom;Fcou;117;56;0;3.044522438;11.30448578;0;0;1;14164;2.944438979;Cnon
5051381;Shom;Fseu;22;42;0.693147181;2.302585093;0;0;7.853993087;1;704;2.197224577;Cnon
1145354;Sfem;Fcou;207;58;0;1.386294361;9.834780355;0;0;0;0;0;Cnon
3462789;Sfem;Fcou;67;29;0.693147181;2.48490665;11.7146002;0;0;1;20118;2.302585093;Cnon
7572458;Sfem;Fcou;27;43;0;0;9.276689753;0;0;0;0;0;Cnon
3460626;Shom;Fcou;142;49;0;3.465735903;10.69228576;2.197224577;12.13379761;1;7923;3.433987204;Cnon
1163226;Shom;Fcou;196;42;1.609437912;3.465735903;0;0;0;1;8747;3.465735903;Cnon
3740915;Shom;Fcou;315;49;1.386294361;2.944438979;9.407304206;2.890371758;11.89891549;1;14035;2.944438979;Cnon
1846958;Shom;Fcou;56;34;0;2.48490665;0;3.36729583;12.12586534;1;2481;2.48490665;Cnon
5058529;Sfem;Fseu;19;19;0;0;0;0;0;0;0;0;Cnon
7522067;Sfem;Fcou;41;22;0;2.197224577;0;3.401197382;9.55137362;1;-3673;2.197224577;Cnon
3145867;Shom;Fseu;131;38;0;2.197224577;0;1.945910149;10.66405971;1;3227;2.197224577;Cnon
5037587;Sfem;Fseu;27;29;0;0;0;0;0;0;0;0;Cnon
257102;Sfem;Fcou;211;51;0;1.098612289;10.02278056;0;0;0;0;0;Cnon
7580358;Sfem;Fcou;192;27;1.098612289;2.197224577;10.11224816;0;0;1;1622;2.197224577;Cnon
2847818;Sfem;Fseu;130;51;0;3.33220451;9.486455808;0;0;1;3368;3.33220451;Cnon
7501007;Shom;Fcou;3;50;1.098612289;1.098612289;0;0;0;1;3671;1.098612289;Cnon
1146085;Sfem;Fseu;227;64;0;2.079441542;12.51360881;0;0;1;4672;2.079441542;Cnon
442434;Shom;Fcou;282;62;1.791759469;2.079441542;0;0;0;1;16210;2.079441542;Cnon
1954176;Sfem;Fseu;47;35;0.693147181;0.693147181;0;0;0;1;1644;0.693147181;Cnon
1452372;Shom;Fcou;110;53;0.693147181;2.48490665;0;0;0;1;8038;2.48490665;Cnon
5089277;Sfem;Fseu;7;21;0.693147181;1.609437912;0;0;0;1;2112;1.609437912;Cnon
3253668;Shom;Fcou;115;36;0;1.386294361;0;0;0;1;1188;1.386294361;Cnon
5031537;Sfem;Fseu;29;32;0.693147181;2.48490665;10.40988338;0;0;1;2937;2.48490665;Cnon
146230;Sfem;Fseu;264;49;0;0;7.854769183;0;0;0;0;0;Cnon
1565135;Sfem;Fcou;49;31;0;2.197224577;0;0;0;3;4371;2.197224577;Cnon
1251267;Sfem;Fcou;244;43;0.693147181;2.302585093;0;0;0;1;3047;2.302585093;Cnon
1949061;Sfem;Fseu;124;35;1.098612289;1.791759469;9.736665259;0;8.608130186;1;-2540;1.791759469;Cnon
241459;Sfem;Fseu;283;64;0.693147181;1.098612289;9.611663581;4.49980967;8.557951184;1;11188;1.098612289;Cnon
2242856;Shom;Fcou;254;64;1.609437912;3.091042453;11.97782861;0;0;1;6890;3.091042453;Cnon
7505187;Shom;Fcou;30;40;0;0;9.803998654;0;0;0;0;0;Cnon
550997;Shom;Fcou;171;45;0.693147181;2.197224577;5.857933154;3.135494216;9.921916688;1;5852;2.197224577;Cnon
544398;Shom;Fcou;257;62;0;2.708050201;7.848153086;0;0;1;7588;2.708050201;Cnon
443885;Shom;Fcou;267;51;1.098612289;2.772588722;4.624972813;0;0;1;7975;2.772588722;Cnon
2242789;Sfem;Fcou;255;57;0;2.397895273;0;0;0;1;2921;2.397895273;Cnon
1322982;Shom;Fcou;316;65;1.098612289;3.583518938;10.24103064;1.945910149;9.406975663;1;9529;3.583518938;Cnon
7517038;Sfem;Fcou;16;34;0;2.302585093;7.982416347;2.833213344;11.78527052;1;6789;2.302585093;Cnon
5061345;Sfem;Fseu;18;32;1.098612289;3.218875825;5.375278408;2.63905733;12.62953483;1;3498;3.218875825;Cnon
3342565;Shom;Fseu;249;36;0;1.791759469;9.306831672;0;0;1;18392;0.693147181;Cnon
1847382;Shom;Fcou;48;56;0;1.609437912;4.941642423;3.871201011;8.213652703;1;2127;1.609437912;Cnon
342140;Shom;Fcou;161;53;0.693147181;2.397895273;5.484796933;2.397895273;10.34100027;1;1443;2.397895273;Cnon
5056881;Sfem;Fcou;19;28;0;0.693147181;0;0;0;1;751;0.693147181;Cnon
1254196;Shom;Fseu;131;21;0;0;0;0;0;0;0;0;Cnon
749013;Sfem;Fseu;111;42;0;2.302585093;11.13824656;0;0;1;6713;2.302585093;Cnon
5083088;Shom;Fseu;9;27;1.098612289;1.791759469;0;0;0;1;3554;1.791759469;Cnon
1244738;Shom;Fcou;201;44;0;2.397895273;6.908754779;2.564949357;10.79687806;1;7856;2.397895273;Cnon
2446184;Sfem;Fcou;240;48;0;2.397895273;8.180040723;0;0;0;0;0;Cnon
3041942;Shom;Fcou;256;57;0;2.63905733;5.659482216;2.302585093;7.772331575;1;7911;2.63905733;Cnon
5000996;Sfem;Fcou;41;60;1.098612289;1.791759469;0;0;0;1;4047;1.791759469;Cnon
1145578;Shom;Fcou;202;36;1.386294361;3.36729583;8.286017468;3.258096538;12.992528;1;4803;3.33220451;Cnon
1332460;Shom;Fcou;94;40;0;1.945910149;10.95971412;0;0;1;5268;1.945910149;Cnon
3842000;Shom;Fcou;297;64;1.609437912;2.833213344;10.63986183;3.295836866;12.0343705;1;6610;2.833213344;Cnon
1162143;Shom;Fcou;220;48;1.098612289;2.564949357;0;0;0;1;205348;2.564949357;Cnon
3252260;Sfem;Fseu;174;58;1.386294361;2.708050201;0;0;0;1;2437;2.708050201;Cnon
5005108;Shom;Fseu;39;26;1.386294361;1.386294361;8.783242964;2.833213344;9.682342004;1;29985;0.693147181;Cnon
561871;Sfem;Fcou;247;52;0;1.791759469;9.966368451;0;0;1;3888;1.791759469;Cnon
5022164;Sfem;Fcou;33;59;0;0.693147181;11.62767279;0;0;0;0;0;Cnon
5097614;Shom;Fcou;4;65;1.386294361;3.496507561;10.84351434;0;0;1;10511;2.772588722;Cnon
648918;Sfem;Fcou;277;45;0;1.945910149;0;0;0;1;4399;1.945910149;Cnon
5081620;Shom;Fseu;10;28;0;0;0;0;0;0;0;0;Cnon
2460432;Shom;Fseu;87;26;1.098612289;1.386294361;9.307285578;0;0;0;0;0;Cnon
2040354;Shom;Fseu;325;22;0.693147181;0;4.644390899;0;0;1;1539;0;Cnon
1483761;Shom;Fcou;50;25;0.693147181;2.302585093;9.832206351;2.995732274;9.611596635;1;5302;2.302585093;Cnon
5075633;Shom;Fseu;12;22;0;0;0;0;0;0;-94;0;Cnon
5095968;Sfem;Fcou;4;22;0.693147181;0.693147181;5.303304908;0;0;0;0;0;Cnon
543267;Sfem;Fcou;271;46;0;1.945910149;6.937314081;0;6.848005275;1;682;1.945910149;Cnon
5086081;Sfem;Fseu;8;38;1.098612289;2.397895273;11.92995676;0;0;1;5750;2.397895273;Cnon
463938;Shom;Fcou;56;46;0;2.48490665;5.225746674;2.63905733;10.82703191;1;-9113;2.48490665;Cnon
2740736;Sfem;Fseu;280;30;0;1.791759469;0;0;0;1;10935;1.791759469;Cnon
555686;Sfem;Fcou;118;45;1.609437912;2.302585093;7.38274645;0;0;1;-1012;2.197224577;Cnon
141833;Sfem;Fseu;302;49;0.693147181;2.708050201;10.95542743;2.708050201;10.49094083;1;4181;2.708050201;Cnon
1243652;Sfem;Fseu;145;39;0;4.9698133;9.190341725;0;0;1;13168;4.9698133;Cnon
2842638;Shom;Fcou;247;50;0.693147181;2.48490665;10.44030251;0;0;1;8858;2.48490665;Cnon
5025493;Shom;Fseu;31;40;0;3.044522438;4.65396035;0;0;1;3674;3.044522438;Cnon
2743867;Sfem;Fseu;116;28;0;2.079441542;11.3991855;0;0;2;6263;2.079441542;Cnon
560085;Sfem;Fcou;296;47;0.693147181;2.564949357;10.06471315;1.791759469;9.728896042;1;3719;2.48490665;Cnon
3145085;Sfem;Fseu;161;33;0;2.397895273;0;0;0;1;6331;2.397895273;Cnon
2743596;Sfem;Fcou;167;42;0.693147181;2.833213344;11.8820654;0;0;2;6595;2.708050201;Cnon
1451038;Sfem;Fcou;190;38;0.693147181;2.995732274;11.70156038;2.197224577;9.537483513;1;-869;2.944438979;Cnon
7567726;Sfem;Fcou;23;38;0;0;0;0;0;0;0;0;Cnon
900914;Shom;Fcou;104;61;1.609437912;2.63905733;5.872117789;2.48490665;11.70375241;1;5640;2.63905733;Cnon
1051618;Shom;Fseu;294;46;0.693147181;2.708050201;10.15874973;3.951243719;12.48770395;1;20448;2.708050201;Cnon
5086855;Sfem;Fcou;8;29;1.098612289;3.583518938;8.936035097;0;0;2;-71;3.433987204;Cnon
178529;Shom;Fcou;57;50;1.098612289;3.663561646;9.615872145;3.091042453;11.38845009;1;15229;3.465735903;Cnon
750701;Shom;Fseu;201;36;1.098612289;3.784189634;0;0;0;1;15665;3.784189634;Cnon
1943953;Shom;Fcou;234;54;1.386294361;3.688879454;12.71478303;0;0;1;73650;3.688879454;Cnon
170421;Shom;Fseu;183;39;0.693147181;3.555348061;6.021023349;1.386294361;11.16832025;1;7459;3.433987204;Cnon
3341425;Shom;Fcou;279;58;2.397895273;4.234106505;11.35880645;0;0;2;22306;4.234106505;Cnon
1341444;Sfem;Fseu;278;43;0.693147181;3.433987204;12.04014792;0;0;1;19627;3.258096538;Cnon
1842764;Shom;Fseu;126;36;3.044522438;6.419994928;11.09742517;0;9.903537551;2;10560;6.338594078;Coui
1564861;Shom;Fcou;54;41;2.397895273;4.736198448;13.34677972;2.079441542;12.2103236;3;9161;4.736198448;Coui
2541959;Shom;Fcou;266;55;0;4.077537444;12.89024971;3.850147602;12.59813163;1;28286;4.077537444;Coui
159663;Sfem;Fseu;152;41;0.693147181;3.828641396;11.92340465;0;0;2;8489;3.258096538;Coui
5089717;Shom;Fcou;2;34;1.098612289;0;0;0;7.068172;1;456;0;Coui
2243145;Shom;Fcou;3;44;0.693147181;1.386294361;0;0;0;1;1207;1.386294361;Coui
3142241;Shom;Fcou;243;56;0.693147181;3.737669618;11.88573652;0;0;1;6865;3.737669618;Coui
5075425;Shom;Fcou;1;52;0;0;0;0;6.66057515;1;-390;0;Coui
552427;Shom;Fcou;139;58;0;3.713572067;8.132412675;0;0;1;1336;3.713572067;Coui
3341662;Shom;Fcou;267;47;2.48490665;5.863631176;4.905274778;1.386294361;12.79631463;0;0;0;Coui
7505023;Shom;Fcou;29;47;0;2.890371758;12.84021265;0;0;1;0;0;Coui
554051;Shom;Fseu;137;37;1.945910149;5.361292166;0;2.564949357;14.49990958;4;22732;5.365976015;Coui
1245284;Shom;Fcou;246;52;1.609437912;2.772588722;11.1730374;3.583518938;13.04551473;3;3486;2.772588722;Coui
1470028;Sfem;Fcou;154;48;3.36729583;3.931825633;12.74331135;0;0;1;35423;3.931825633;Coui
7509027;Shom;Fcou;1;39;0;0;0;0;0;1;0;0;Coui
1052382;Shom;Fcou;235;47;0;3.526360525;10.06390427;0.693147181;10.30905266;1;9886;3.526360525;Coui
3255973;Shom;Fcou;128;45;0;3.784189634;10.91931588;0;9.242032819;2;5332;3.784189634;Coui
3342290;Shom;Fcou;246;48;0.693147181;2.995732274;10.72414805;0;0;1;10438;2.302585093;Coui
5051051;Shom;Fseu;17;34;0;3.258096538;12.0374232;0;0;1;32032;3.258096538;Coui
856548;Shom;Fcou;92;42;0.693147181;2.397895273;12.71320947;0;0;1;8232;2.397895273;Coui
2849823;Shom;Fseu;75;26;0;3.737669618;10.24611935;2.197224577;12.42763895;2;13329;3.737669618;Coui
5074279;Shom;Fcou;2;51;1.098612289;0.693147181;0;0;0;1;1700;0.693147181;Coui
7549621;Shom;Fcou;7;54;0.693147181;2.833213344;0;0;0;1;159222;2.833213344;Coui
5029400;Shom;Fseu;20;35;2.079441542;3.951243719;9.903537551;0;10.81979828;1;12781;3.912023005;Coui
5049589;Sfem;Fseu;16;37;0.693147181;2.564949357;12.02576706;0;0;1;10365;2.564949357;Coui
5013143;Sfem;Fseu;23;30;1.791759469;1.791759469;0;0;7.140453043;1;505;0.693147181;Coui
1970765;Shom;Fcou;94;50;2.63905733;5.497168225;13.02272203;1.098612289;10.84075669;2;39226;5.497168225;Coui
157788;Shom;Fseu;167;32;0;2.63905733;10.77291726;1.791759469;7.846980982;2;3704;2.63905733;Coui
2454856;Shom;Fcou;113;54;0;4.406719247;0;0;0;1;167799;4.406719247;Coui
7534429;Sfem;Fcou;2;63;0.693147181;3.33220451;10.33104026;0;0;1;9871;2.890371758;Coui
5078110;Shom;Fcou;5;31;0;0;0;0;11.01766146;1;-24136;0;Coui
5075858;Shom;Fcou;3;40;0.693147181;0;0;0;0;1;477;0;Coui
149265;Shom;Fcou;310;39;0.693147181;4.615120517;9.98681716;1.098612289;10.83018396;1;20055;4.615120517;Coui
5074054;Shom;Fcou;2;36;0;0.693147181;7.003974137;0;0;1;1202;0.693147181;Coui
5001267;Shom;Fseu;35;39;0;1.098612289;0;1.791759469;12.89922233;1;413;1.098612289;Coui
2463113;Sfem;Fcou;114;33;1.609437912;3.610917913;7.406103381;3.17805383;13.30590752;2;1704;3.295836866;Coui
552080;Sfem;Fseu;145;43;0;3.433987204;9.596894455;3.36729583;12.02345905;1;9517;2.397895273;Coui
1053848;Shom;Fcou;182;34;1.609437912;3.737669618;0;2.564949357;13.51687134;1;10590;3.737669618;Coui
4210035;Shom;Fseu;142;27;0.693147181;3.044522438;10.79661201;0;0;1;22868;3.044522438;Coui
5050331;Shom;Fcou;12;55;0;1.386294361;9.417435839;0;11.86851382;1;11872;0;Coui
2840560;Shom;Fcou;292;53;0.693147181;3.401197382;12.13949471;2.63905733;11.76805594;2;60293;3.433987204;Coui
3241063;Shom;Fcou;264;48;1.098612289;4.770684624;11.77981792;1.791759469;11.75065019;2;15027;4.770684624;Coui
2453082;Sfem;Fcou;188;65;1.098612289;2.890371758;11.97270829;0;0;1;17650;2.63905733;Coui
161022;Shom;Fcou;137;45;2.197224577;5.332718793;12.72965259;2.079441542;14.31231373;1;119749;2.890371758;Coui
5006322;Shom;Fseu;31;40;0.693147181;3.091042453;8.878497404;2.397895273;11.62650412;1;-10664;3.091042453;Coui
941523;Shom;Fcou;257;44;0;3.891820298;0;0;0;2;10626;3.912023005;Coui
5084793;Shom;Fseu;2;34;0.693147181;0.693147181;5.303304908;0;0;1;1278;0.693147181;Coui
5004401;Shom;Fcou;26;30;0;3.912023005;11.04624431;2.302585093;11.89534028;1;8682;3.912023005;Coui
149961;Shom;Fcou;231;43;1.098612289;3.295836866;0;2.63905733;12.33208396;3;-2454;3.295836866;Coui
5048551;Shom;Fseu;13;37;1.098612289;5.583496309;12.34678197;3.496507561;11.42146785;2;69789;5.411646052;Coui
